,count,mean,std,min,25%,50%,75%,max,n_nonmissing
age_years,473.0,14.678470754052148,4.026723915968816,5.583333333333333,11.166666666666666,14.583333333333334,18.083333333333332,21.916666666666668,473
sex_code,473.0,0.5221987315010571,0.5000358320195386,0.0,0.0,1.0,1.0,1.0,473
music_onset_age,203.0,9.488916256157635,3.0173419784745086,2.75,7.375,9.0,11.333333333333334,17.833333333333332,203
music_years,203.0,3.7192118226600983,2.661603657415293,0.0,1.5,3.0,5.0,10.0,203
cumulative_hours,202.0,28.203590759075908,41.43586367711356,0.0,3.897,12.557,31.176,218.23199999999997,202
log_cumulative_hours,202.0,2.5954427153271675,1.2777679165143934,0.0,1.5886227727201803,2.6063927018881223,3.471220833030296,5.390130529820488,202
psm_score,473.0,106.94714587737843,17.461681938358243,71.0,93.0,105.0,118.0,146.0,473
flanker,471.0,92.79830148619958,13.400685806615872,63.0,84.0,92.0,101.0,138.0,471
dccs,472.0,103.25,17.133948372646568,60.0,90.0,102.0,113.0,146.0,472
lswmt,472.0,105.20338983050847,13.729296289142265,72.0,96.0,105.0,113.0,146.0,472
pcps,472.0,107.35169491525424,21.148429978119466,54.0,94.0,106.5,124.0,146.0,472
wisc_mr,323.0,11.108359133126935,3.2308717697181946,3.0,9.0,11.0,13.0,19.0,323
