model,outcome,predictor,beta,se,t,p,n,r2,q_fdr,sig_fdr
M1_onset_only,flanker,music_onset_age,-0.12688422798914856,0.09282295030433668,-1.3669488803484038,0.1733556155783482,184,0.038528680265596305,,
M2_hours_only,flanker,log_cumulative_hours,0.15240804351377293,0.08308604720627423,1.8343398035941691,0.06827307513940051,183,0.044765922461184826,,
M4_interaction,flanker,music_onset_age,-0.045123421888671224,0.12338903844121368,-0.36570040952356886,0.7150277966967816,183,0.04549138683865983,,
M4_interaction,flanker,log_cumulative_hours,0.12715632821861433,0.10872409636908162,1.1695321687196323,0.2437707075139912,183,0.04549138683865983,,
M4_interaction,flanker,onset_x_hours,0.006939324452675581,0.0955610744298096,0.07261664327322494,0.9421936398853598,183,0.04549138683865983,,
M1_onset_only,dccs,music_onset_age,-0.21340346419583467,0.09209116755840635,-2.3173065327952242,0.021618685943734645,184,0.07997421968700036,,
M2_hours_only,dccs,log_cumulative_hours,0.11817971901079707,0.08342441958746052,1.4166082256874413,0.1583452106449639,183,0.06565839600333379,,
M4_interaction,dccs,music_onset_age,-0.23323782759576211,0.12263811433857502,-1.9018380122173704,0.05882582136968094,183,0.08516386785577357,,
M4_interaction,dccs,log_cumulative_hours,-0.01566723993613763,0.10806242053845223,-0.14498324077945948,0.8848900013753286,183,0.08516386785577357,,
M4_interaction,dccs,onset_x_hours,0.004354796661936312,0.09497950644800238,0.04584985566671054,0.9634819031003711,183,0.08516386785577357,,
M1_onset_only,lswmt,music_onset_age,-0.08617440908804147,0.09288982853836372,-0.927705545849417,0.35480954877274823,184,0.03749256456266736,,
M2_hours_only,lswmt,log_cumulative_hours,-0.031836231653670874,0.08406613387869206,-0.37870460058994443,0.7053585499721361,183,0.03350414585746597,,
M4_interaction,lswmt,music_onset_age,-0.1789489688107213,0.1239795916018392,-1.4433744013725776,0.15069256987192337,183,0.04757381078260703,,
M4_interaction,lswmt,log_cumulative_hours,-0.1388755472649362,0.10924446154542186,-1.2712365029800095,0.20532202219597293,183,0.04757381078260703,,
M4_interaction,lswmt,onset_x_hours,-0.037873098744100456,0.09601843997256955,-0.39443568084338804,0.6937369425889512,183,0.04757381078260703,,
M1_onset_only,pcps,music_onset_age,-0.15378473012276325,0.0882051536194894,-1.7434891705554911,0.0829651349851458,184,0.14241012259554908,,
M2_hours_only,pcps,log_cumulative_hours,0.12394461637441892,0.07943969097750417,1.5602353791824004,0.12048043613833823,183,0.14361059355705907,,
M4_interaction,pcps,music_onset_age,-0.10409657100886519,0.1174693732113156,-0.8861592444322139,0.3767409243468974,183,0.15156499598363737,,
M4_interaction,pcps,log_cumulative_hours,0.057097787830837694,0.10350799078094401,0.5516268589511593,0.5819037255700923,183,0.15156499598363737,,
M4_interaction,pcps,onset_x_hours,-0.06546480730595658,0.09097647293862156,-0.7195795263476883,0.4727383478146888,183,0.15156499598363737,,
M3_both,flanker,music_onset_age,-0.04321270927194444,0.12021166654535596,-0.3594718425739506,0.7196706359253435,183,0.04546278858439279,0.8224807267718212,False
M3_both,flanker,log_cumulative_hours,0.12752469948962325,0.10830008075626228,1.1775125059844365,0.24057188413944064,183,0.04546278858439279,0.46093608258191426,False
M3_both,dccs,music_onset_age,-0.23203875339452168,0.11947900307161657,-1.94208812786491,0.05371373749744208,183,0.08515294071377022,0.4297098999795366,False
M3_both,dccs,log_cumulative_hours,-0.0154360672921311,0.10764001575880047,-0.143404543220434,0.88613382416167,183,0.08515294071377022,0.88613382416167,False
M3_both,lswmt,music_onset_age,-0.18937716079084826,0.12083857676552208,-1.5671912551429665,0.11885603165385351,183,0.046731890348931326,0.46093608258191426,False
M3_both,lswmt,log_cumulative_hours,-0.1408860256071091,0.10886487142444005,-1.2941367014326013,0.1973041886730301,183,0.046731890348931326,0.46093608258191426,False
M3_both,pcps,music_onset_age,-0.12212201918096294,0.11461094576706331,-1.0655353933573257,0.2880850516136964,183,0.14906888721141975,0.46093608258191426,False
M3_both,pcps,log_cumulative_hours,0.053622614643862726,0.1032543266292823,0.5193255952981604,0.6041824832568006,183,0.14906888721141975,0.8055766443424007,False
