brain_feature,predictor,n,beta,se,t,p,r2,q_fdr,sig_fdr
DMN_FPN_between,log_cumulative_hours,175,0.12520854097704948,0.1079436701685277,1.1599433369420078,0.2477079587490494,0.08266534867624376,0.7105535640531941,False
MTL_within,log_cumulative_hours,175,0.12168576642112994,0.11199572223142311,1.0865215563294797,0.2787955935983537,0.032730648156529374,0.7105535640531941,False
small_worldness,log_cumulative_hours,175,-0.10610144820711377,0.10895256988679419,-0.9738315334586156,0.3315320053277111,0.0632342850577825,0.7105535640531941,False
mean_clustering,log_cumulative_hours,175,0.0856002272310731,0.11061069475736632,0.7738874384510853,0.44007858106601766,0.0755801411396898,0.7105535640531941,False
DMN_within,log_cumulative_hours,175,0.07572775948882729,0.1071346380705718,0.7068466450499776,0.4806352418183363,0.059344137531028074,0.7105535640531941,False
char_path_length,log_cumulative_hours,175,-0.07333336940734772,0.10829069310023248,-0.677189953336722,0.49921137108676783,0.11820305246589502,0.7105535640531941,False
modularity,log_cumulative_hours,175,0.07007274162134021,0.10627426885464607,0.6593575507649968,0.5105636595729844,0.09441889677205684,0.7105535640531941,False
FPN_within,log_cumulative_hours,175,0.06187363456992504,0.10587489606656156,0.5844032614778318,0.5597283433203458,0.044879297817843944,0.7105535640531941,False
global_efficiency,log_cumulative_hours,175,0.060176789378876466,0.10892481930614713,0.5524616865302472,0.5813620069526134,0.09369895835701936,0.7105535640531941,False
FPN_MTL_between,log_cumulative_hours,175,0.03960569143926696,0.11246367280317167,0.35216430739002164,0.7251538012355843,0.012919481085258977,0.7976691813591427,False
DMN_MTL_between,log_cumulative_hours,175,-0.00189660570128964,0.11179420639923597,-0.016965151973229644,0.9864844284348427,0.017230760826597136,0.9864844284348427,False
small_worldness,music_onset_age,175,-0.12949962614045563,0.12029012030128906,-1.0765607833469584,0.283210934749418,0.0632342850577825,0.9466284773292039,False
DMN_FPN_between,music_onset_age,175,-0.079177297704761,0.11917623497845262,-0.664371531111689,0.5073580074447481,0.08266534867624376,0.9466284773292039,False
FPN_within,music_onset_age,175,-0.06892326165009584,0.11689218526892978,-0.5896310475463051,0.556225486443204,0.044879297817843944,0.9466284773292039,False
global_efficiency,music_onset_age,175,-0.05521337800212912,0.12025948200897586,-0.45911870797853704,0.646738891726902,0.09369895835701936,0.9466284773292039,False
DMN_within,music_onset_age,175,-0.05260579729015146,0.11828301540142164,-0.4447451488417093,0.6570729945803353,0.059344137531028074,0.9466284773292039,False
char_path_length,music_onset_age,175,0.049515892689692295,0.1195593689444109,0.414153178683259,0.6792870837582834,0.11820305246589502,0.9466284773292039,False
mean_clustering,music_onset_age,175,-0.03281141500598439,0.12212078882395835,-0.2686800119943809,0.7885036393435012,0.0755801411396898,0.9466284773292039,False
DMN_MTL_between,music_onset_age,175,-0.032428101156574116,0.12342745610061277,-0.2627300454944167,0.7930786660626052,0.017230760826597136,0.9466284773292039,False
MTL_within,music_onset_age,175,0.03094779458927199,0.12364994157040565,0.2502855577303324,0.8026705252525919,0.032730648156529374,0.9466284773292039,False
FPN_MTL_between,music_onset_age,175,-0.014327114983253009,0.12416658684668667,-0.11538623511446969,0.9082759740820846,0.012919481085258977,0.9466284773292039,False
modularity,music_onset_age,175,0.007866104762410665,0.11733311659137277,0.06704078942866025,0.9466284773292039,0.09441889677205684,0.9466284773292039,False
